TOURNAMENT,CATEGORY,MATCH_DETAIL,OPPONENT,SET_1,SET_2,SET_3,RESULT,TIME_IN_MIN,TOTAL_ERRORS,SERVICE_ERROR,STRAIGHT_TOSS_ERROR,CROSS_TOSS__ERROR,STRAIGHT_SMASH_ERROR,CROSS_SMASH__ERROR,SMASH_RETURN_ERROR,STRAIGHT_DROP_ERROR,CROSS_DROP__ERROR,NET_SHOT_ERROR,NET_KILL_ERROR,NET_LIFT_ERROR
PERODUA MALAYSIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_1,Kazumasa SAKAI,21-16,21-5,       -,WIN,33,21,2,2,1,3,2,3,2,2,2,1,1
PERODUA MALAYSIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_2,Hans-Kristian Solberg VITTINGHUS,21-18,21-19,       -,WIN,36,37,2,3,3,5,4,5,4,3,3,3,2
PERODUA MALAYSIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,QUARTER_FINAL,LEE Zii Jia,21-12,22-20,       -,WIN,37,33,3,2,3,4,4,3,3,4,4,3,0
PERODUA MALAYSIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,SEMI_FINAL,CHEN Long,13-21,18-21,       -,LOST,49,42,4,3,4,5,4,5,3,3,5,4,2
DAIHATSU INDONESIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_1,Subhankar DEY,21-14,19-21,21-15,WIN,61,50,3,4,3,4,7,8,5,4,5,4,3
DAIHATSU INDONESIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_2,Kanta TSUNEYAMA,21-11,21-9,       -,WIN,33,20,2,1,3,1,2,3,1,2,3,1,1
DAIHATSU INDONESIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,QUARTER_FINAL,CHEN Long,21-18,21-14,       -,WIN,47,34,3,2,3,3,4,4,3,3,4,3,2
DAIHATSU INDONESIA MASTERS 2019,HSBC BWF WORLD TOUR SUPER 500,SEMI_FINAL,Kento MOMOTA,15-21,1-4,       -,LOST,30,42,3,4,5,4,2,6,4,3,5,4,2
BARCELONA SPAIN MASTERS 2019,HSBC BWF WORLD TOUR SUPER 300,ROUND_1,LU Chia Hung,21-11,21-11,       -,WIN,29,22,1,2,3,2,3,3,2,2,1,2,1
BARCELONA SPAIN MASTERS 2019,HSBC BWF WORLD TOUR SUPER 300,ROUND_2,Ajay JAYARAM,21-19,21-16,       -,WIN,37,35,2,3,3,3,4,4,4,3,3,4,2
BARCELONA SPAIN MASTERS 2019,HSBC BWF WORLD TOUR SUPER 300,QUARTER_FINAL,LOH Kean Yew,21-13,21-10,       -,WIN,31,23,1,2,4,2,3,2,1,3,2,1,2
BARCELONA SPAIN MASTERS 2019,HSBC BWF WORLD TOUR SUPER 300,SEMI_FINAL,REN Peng Bo,21-9,17-21,5-4,WIN,47,34,2,3,2,4,3,4,4,4,3,3,2
BARCELONA SPAIN MASTERS 2019,HSBC BWF WORLD TOUR SUPER 300,FINAL,Anders ANTONSEN,21-14,21-11,       -,WIN,48,25,1,3,3,2,3,2,3,3,1,2,2
YONEX ALL ENGLAND OPEN BADMINTON CHAMPIONSHIPS 2019,HSBC BWF WORLD TOUR SUPER 1000,ROUND_1,Sameer VERMA,16-12,21-18,21-14,WIN,65,30,3,2,3,3,3,3,3,3,3,3,1
YONEX ALL ENGLAND OPEN BADMINTON CHAMPIONSHIPS 2019,HSBC BWF WORLD TOUR SUPER 1000,ROUND_2,LU Guang Zu,21-19,21-16,       -,WIN,41,35,2,4,4,3,4,4,4,3,2,4,1
YONEX ALL ENGLAND OPEN BADMINTON CHAMPIONSHIPS 2019,HSBC BWF WORLD TOUR SUPER 1000,QUARTER_FINAL,Jan O JORGENSEN,23-21,21-18,       -,WIN,43,39,2,3,2,4,3,6,4,5,4,3,3
YONEX ALL ENGLAND OPEN BADMINTON CHAMPIONSHIPS 2019,HSBC BWF WORLD TOUR SUPER 1000,SEMI_FINAL,SHI Yu Qi,22-20,13-21,21-19,WIN,66,60,3,5,4,4,9,8,5,5,7,5,5
YONEX ALL ENGLAND OPEN BADMINTON CHAMPIONSHIPS 2019,HSBC BWF WORLD TOUR SUPER 1000,FINAL,Kento MOMOTA,01-11,21-15,15-21,LOST,81,57,3,5,4,4,9,8,5,5,6,5,3
YONEX-SUNRISE INDIA OPEN 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_1,Misha ZILBERMAN,21-13,21-16,       -,WIN,40,29,2,3,3,4,4,2,2,4,2,2,1
YONEX-SUNRISE INDIA OPEN 2019,HSBC BWF WORLD TOUR SUPER 500,ROUND_2,Suppanyu AVIHINGSANON,21-11,21-9,       -,WIN,32,20,1,2,1,3,1,2,3,3,2,1,1
YONEX-SUNRISE INDIA OPEN 2019,HSBC BWF WORLD TOUR SUPER 500,QUARTER_FINAL,PRANNOY H. S.,21-10,21-16,       -,WIN,36,26,2,2,4,2,3,3,3,3,1,2,1
YONEX-SUNRISE INDIA OPEN 2019,HSBC BWF WORLD TOUR SUPER 500,SEMI_FINAL,PARUPALLI Kashyap,21-11,21-17,       -,WIN,43,28,2,3,3,3,3,2,3,3,2,2,2
YONEX-SUNRISE INDIA OPEN 2019,HSBC BWF WORLD TOUR SUPER 500,FINAL,KIDAMBI Srikanth,21-7,22-20,       -,WIN,36,27,1,2,3,2,4,3,3,3,2,2,2
